"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (m)"
1.816084796E2,6.496584090E1,2.561956873E1,8.394291528E0,1.649999976E0,1.015999985E2,3.790092468E0,2.500000000E0
1.826085161E2,6.496583725E1,2.561960703E1,8.899592844E0,1.659999967E0,1.034000015E2,3.790092468E0,2.500000000E0
1.836084499E2,6.496583382E1,2.561964301E1,8.761217932E0,1.690000057E0,1.048000031E2,3.790092468E0,2.500000000E0
1.846084820E2,6.496583051E1,2.561967902E1,8.861490591E0,1.659999967E0,1.011999969E2,3.790092468E0,2.500000000E0
1.856077290E2,6.496582658E1,2.561971124E1,9.081636223E0,1.649999976E0,1.036999969E2,3.790092468E0,2.500000000E0
1.866084236E2,6.496582234E1,2.561974489E1,8.907250112E0,1.649999976E0,1.028000031E2,3.790092468E0,2.500000000E0
1.876083643E2,6.496581876E1,2.561977696E1,8.711990826E0,1.639999986E0,1.046999969E2,3.790092468E0,2.500000000E0
1.886078918E2,6.496581442E1,2.561981120E1,8.648993699E0,1.700000048E0,1.068000031E2,3.790092468E0,2.500000000E0
1.896085387E2,6.496581148E1,2.561984556E1,8.468688324E0,1.659999967E0,1.061999969E2,3.790092468E0,2.500000000E0
1.906078406E2,6.496580822E1,2.561987709E1,8.371879125E0,1.620000005E0,1.071999969E2,3.790092468E0,2.500000000E0
1.916081319E2,6.496580572E1,2.561991046E1,8.522323819E0,1.649999976E0,1.035999985E2,3.790092468E0,2.500000000E0
1.926080149E2,6.496580224E1,2.561994220E1,8.387733618E0,1.620000005E0,1.039000015E2,3.790092468E0,2.500000000E0
1.936079169E2,6.496579923E1,2.561997285E1,8.480927220E0,1.590000033E0,1.034000015E2,3.790092468E0,2.500000000E0
1.946079367E2,6.496579574E1,2.562000651E1,8.519554520E0,1.659999967E0,1.049000015E2,3.790092468E0,2.500000000E0
1.956082472E2,6.496579252E1,2.562004167E1,8.648697010E0,1.659999967E0,1.039000015E2,3.790092468E0,2.500000000E0
1.966079830E2,6.496578924E1,2.562007722E1,8.301826205E0,1.679999948E0,1.030000000E2,3.790092468E0,2.500000000E0
1.976083497E2,6.496578611E1,2.562010896E1,8.204956066E0,1.649999976E0,1.025000000E2,3.790092468E0,2.500000000E0
1.986083250E2,6.496578352E1,2.562014217E1,8.230827941E0,1.620000005E0,1.028000031E2,3.790092468E0,2.500000000E0
1.996080541E2,6.496577986E1,2.562017482E1,8.357345842E0,1.590000033E0,1.084000015E2,3.790092468E0,2.500000000E0
2.006078697E2,6.496577408E1,2.562020514E1,8.054235568E0,1.559999943E0,1.199000015E2,3.790092468E0,2.500000000E0
2.016082538E2,6.496576491E1,2.562022300E1,7.865991923E0,1.409999967E0,1.476000061E2,3.790092468E0,2.500000000E0
2.026079264E2,6.496575124E1,2.562022370E1,7.312878159E0,1.559999943E0,1.761999969E2,3.790092468E0,2.500000000E0
2.036078802E2,6.496573748E1,2.562021549E1,6.741332914E0,1.639999986E0,1.886999969E2,3.790092468E0,2.500000000E0
2.046084996E2,6.496572407E1,2.562020051E1,6.626026725E0,1.679999948E0,1.968999939E2,3.790092468E0,2.500000000E0
2.056084721E2,6.496571073E1,2.562018910E1,6.806618551E0,1.649999976E0,1.951000061E2,3.790092468E0,2.500000000E0
2.066085685E2,6.496569649E1,2.562018124E1,6.571376510E0,1.720000029E0,1.928000031E2,3.790092468E0,2.500000000E0
2.076082001E2,6.496568160E1,2.562017211E1,6.552015368E0,1.809999943E0,1.943000031E2,3.790092468E0,2.500000000E0
